Symbol,ltp,%Change,Open,High,Low,Qty,PClose,Diff
SAPDBL,689.00,-1.01,662.00,716.00,662.00,"19,590",696.00,-7
SAPIL,"1,210.00",-1.63,"1,220.00","1,228.00","1,175.00","34,865","1,230.00",-20
SARBTM,795.00,0.13,797.00,797.00,789.00,"7,917",794.00,1
SBCF,9.02,0,9.20,9.29,9.02,"2,200",9.02,0
SBI,397.90,-0.52,395.00,400.80,395.00,"75,210",400.00,-2.1
SBID89,"1,163.90",3,"1,135.00","1,163.90","1,135.00",103,"1,130.00",33.9
SBL,412.00,0.81,408.00,414.00,408.00,"68,249",408.70,3.3
SCB,645.50,0.06,645.10,651.00,644.00,"19,963",645.10,0.4
SEF,9.40,1.4,9.40,9.45,9.20,"519,000",9.27,0.13
SEF2,8.93,-0.78,9.00,9.10,8.73,"8,700",9.00,-0.07
SFEF,9.86,0.1,9.85,9.86,9.56,"5,100",9.85,0.01
SFMF,9.27,-0.86,9.27,9.27,9.27,"3,850",9.35,-0.08
SGHC,287.30,0.45,286.00,290.90,286.00,"15,667",286.00,1.3
SGHL,481.10,-0.41,484.00,485.00,478.00,"43,151",483.10,-2
SGIC,379.80,1.04,375.00,380.60,375.00,"10,686",375.90,3.9
SHEL,293.70,0.07,291.10,294.00,291.00,"26,314",293.50,0.2
SHINE,408.90,0.27,405.50,410.00,401.00,"20,749",407.80,1.1
SHINED,"1,096.00",-2.58,"1,105.00","1,105.00","1,105.00",26,"1,125.00",-29
SHIVM,661.00,0.46,660.00,665.70,656.20,"174,067",658.00,3
SHL,502.00,0.4,498.00,502.00,497.00,"6,427",500.00,2
SHLB,"1,251.00",0.08,"1,250.00","1,285.00","1,250.00",705,"1,250.00",1
SHPC,505.20,0.06,505.00,509.00,501.00,"68,850",504.90,0.3
SICL,522.60,0.5,525.00,525.00,516.00,"6,841",520.00,2.6
SIFC,478.00,-0.93,480.00,483.00,478.00,"2,743",482.50,-4.5
SIGS3,10.10,1,9.95,10.15,9.95,"20,400",10.00,0.1
SIKLES,566.10,0.39,561.00,566.90,555.00,"9,256",563.90,2.2
SINDU,585.50,-1.1,564.00,598.30,564.00,"3,256",592.00,-6.5
SIPD,580.00,-0.17,585.00,590.00,565.00,"7,186",581.00,-1
SJCL,236.20,-1.13,238.00,239.00,234.00,"28,546",238.90,-2.7
SJLIC,397.70,0.18,395.00,397.80,392.00,"7,388",397.00,0.7
SKBBL,741.00,0,741.00,745.00,740.00,"7,787",741.00,0
SKHEL,819.00,0.49,815.50,819.00,799.00,"2,769",815.00,4
SKHL,730.00,-0.68,735.00,742.00,726.00,"15,978",735.00,-5
SLBBL,780.80,0.1,775.20,790.00,775.20,"1,411",780.00,0.8
SLBSL,889.90,2.88,865.00,889.90,865.00,18,865.00,24.9
SLCF,9.06,-0.44,9.00,9.10,9.00,"1,750",9.10,-0.04
SMATA,682.00,-0.15,685.00,685.00,680.00,"1,340",683.00,-1
SMB,"1,718.10",0.01,"1,740.00","1,740.00","1,715.00",421,"1,718.00",0.1
